id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date,start_date_local,timezone,utc_offset,average_speed,max_speed,average_cadence,average_temp,average_heartrate,max_heartrate
15977030560,夜のランニング,5354.0,2705,2773,17.0,Run,2025-09-29T15:30:41Z,2025-09-30T00:30:41Z,(GMT+09:00) Asia/Tokyo,32400.0,1.979,5.8,72.8,24,133.2,201.0
15960258117,Afternoon Trail Run,26934.7,11557,19264,1168.6,Run,2025-09-28T01:17:29Z,2025-09-28T10:17:29Z,(GMT+09:00) Asia/Tokyo,32400.0,2.331,9.8,,,,
15961207928,朝のトレイルランニング,22685.0,15274,23883,1391.0,Run,2025-09-28T00:52:31Z,2025-09-28T09:52:31Z,(GMT+09:00) Asia/Tokyo,32400.0,1.485,4.8,60.3,24,116.4,171.0
15954228672,朝のランニング,9871.0,7153,7154,2.0,Run,2025-09-27T00:51:07Z,2025-09-27T09:51:07Z,(GMT+09:00) Asia/Tokyo,32400.0,1.38,4.8,73.2,28,142.9,203.0
15932839425,夕方のランニング,12778.0,6277,6592,35.0,Run,2025-09-25T10:43:49Z,2025-09-25T19:43:49Z,(GMT+09:00) Asia/Tokyo,32400.0,2.036,9.07,79.8,24,154.1,198.0
15920210463,夕方のランニング,6473.0,5537,5539,41.0,Run,2025-09-24T10:19:53Z,2025-09-24T19:19:53Z,(GMT+09:00) Asia/Tokyo,32400.0,1.169,11.2,79.0,23,149.3,190.0
15905031618,朝のランニング,25088.0,9731,9732,135.0,Run,2025-09-22T23:38:23Z,2025-09-23T08:38:23Z,(GMT+09:00) Asia/Tokyo,32400.0,2.578,7.0,82.8,24,165.1,210.0
15905028510,朝のランニング,1833.0,835,837,7.0,Run,2025-09-22T23:21:39Z,2025-09-23T08:21:39Z,(GMT+09:00) Asia/Tokyo,32400.0,2.195,5.0,77.2,24,144.9,184.0
15883891014,朝のトレイルランニング,28815.0,26417,26419,1416.0,Run,2025-09-21T00:08:29Z,2025-09-21T09:08:29Z,(GMT+09:00) Asia/Tokyo,32400.0,1.091,6.8,66.2,25,124.4,182.0
15876841169,夜のランニング,4916.0,1553,1965,22.0,Run,2025-09-20T13:40:57Z,2025-09-20T22:40:57Z,(GMT+09:00) Asia/Tokyo,32400.0,3.165,6.0,82.5,26,151.8,197.0
15854954140,夕方のランニング,15024.0,6206,6207,78.0,Run,2025-09-18T10:36:59Z,2025-09-18T19:36:59Z,(GMT+09:00) Asia/Tokyo,32400.0,2.421,10.6,79.7,24,145.1,199.0
15840977274,夕方のランニング,5088.0,2244,2352,30.0,Run,2025-09-17T10:22:35Z,2025-09-17T19:22:35Z,(GMT+09:00) Asia/Tokyo,32400.0,2.267,5.0,78.7,27,152.2,185.0
15830132180,夕方のランニング,5147.0,2657,3437,298.0,Run,2025-09-16T11:32:54Z,2025-09-16T20:32:54Z,(GMT+09:00) Asia/Tokyo,32400.0,1.937,5.8,77.5,28,154.7,193.0
15806158149,朝のトレイルランニング,19604.0,12915,23271,1012.0,Run,2025-09-14T00:37:48Z,2025-09-14T09:37:48Z,(GMT+09:00) Asia/Tokyo,32400.0,1.518,4.2,61.7,27,120.0,179.0
15794480896,午後のランニング,3249.0,2096,3640,33.0,Run,2025-09-13T07:53:20Z,2025-09-13T16:53:20Z,(GMT+09:00) Asia/Tokyo,32400.0,1.55,8.0,76.1,26,132.1,179.0
15785913108,夕方のランニング,20046.0,6571,6572,93.0,Run,2025-09-12T11:15:15Z,2025-09-12T20:15:15Z,(GMT+09:00) Asia/Tokyo,32400.0,3.051,8.0,84.5,25,167.4,210.0
15762597507,夕方のランニング,7454.0,3587,3589,12.0,Run,2025-09-10T10:22:02Z,2025-09-10T19:22:02Z,(GMT+09:00) Asia/Tokyo,32400.0,2.078,7.4,78.7,27,148.5,197.0
15761870685,夕方のランニング,0.0,5,5,0,Run,2025-09-10T10:17:00Z,2025-09-10T19:17:00Z,(GMT+09:00) Asia/Chita,32400.0,0.0,0.0,,0,,
15750711561,夕方のランニング,3341.0,2135,2136,141.0,Run,2025-09-09T11:10:16Z,2025-09-09T20:10:16Z,(GMT+09:00) Asia/Tokyo,32400.0,1.565,9.4,72.9,29,141.7,179.0
15741592415,夜のトレイルランニング,5242.0,1733,1733,11.0,Run,2025-09-08T14:28:31Z,2025-09-08T23:28:31Z,(GMT+09:00) Asia/Tokyo,32400.0,3.025,5.6,83.0,28,162.7,198.0
15712590743,朝のトレイルランニング,19339.0,19903,19907,1066.0,Run,2025-09-06T00:50:25Z,2025-09-06T09:50:25Z,(GMT+09:00) Asia/Tokyo,32400.0,0.972,4.8,65.4,27,130.9,185.0
15710507757,朝のトレイルランニング,0.0,11,13,0,Run,2025-09-05T23:07:30Z,2025-09-06T08:07:30Z,(GMT+09:00) Asia/Chita,32400.0,0.0,0.0,,27,75.5,77.0
15694004113,夕方のランニング,7616.0,3834,3835,14.0,Run,2025-09-04T10:52:46Z,2025-09-04T19:52:46Z,(GMT+09:00) Asia/Tokyo,32400.0,1.986,6.4,78.0,28,144.6,169.0
15693998762,夕方のランニング,1936.0,886,886,0.0,Run,2025-09-04T10:37:44Z,2025-09-04T19:37:44Z,(GMT+09:00) Asia/Tokyo,32400.0,2.185,4.6,78.2,29,137.4,166.0
15670013751,夕方のランニング,4414.0,2914,2916,258.0,Run,2025-09-02T10:30:40Z,2025-09-02T19:30:40Z,(GMT+09:00) Asia/Tokyo,32400.0,1.515,5.4,78.0,30,148.3,190.0
15658889827,夕方のランニング,3854.0,2525,2526,29.0,Run,2025-09-01T11:39:56Z,2025-09-01T20:39:56Z,(GMT+09:00) Asia/Tokyo,32400.0,1.526,5.0,81.2,28,135.4,173.0
15650263426,夕方のランニング,15139.0,5315,5316,69.0,Run,2025-08-31T09:10:06Z,2025-08-31T18:10:06Z,(GMT+09:00) Asia/Tokyo,32400.0,2.848,5.6,85.9,30,164.3,190.0
15636233597,朝のランニング,18326.0,11196,11197,63.0,Run,2025-08-29T23:18:09Z,2025-08-30T08:18:09Z,(GMT+09:00) Asia/Tokyo,32400.0,1.637,5.8,81.1,31,142.8,182.0
15636229745,ゆるふわto芝,14005.0,8727,8729,19.0,Run,2025-08-28T10:40:40Z,2025-08-28T19:40:40Z,(GMT+09:00) Asia/Tokyo,32400.0,1.605,8.0,81.8,27,139.7,185.0
15603238745,夕方のランニング,8631.0,3310,3598,45.0,Run,2025-08-27T10:12:59Z,2025-08-27T19:12:59Z,(GMT+09:00) Asia/Tokyo,32400.0,2.608,6.2,82.8,28,159.5,198.0
